name,URL,author,publisher,date,price,date,price,rate,comment
鼠疫,https://book.douban.com/subject/24257229/,[法] 阿尔贝·加缪 , 上海译文出版社 , 2013-8 , 34.00元, 2013-8 , 34.00元,9.1,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
黄金时代,https://book.douban.com/subject/1089243/,王小波 , 花城出版社 , 1999-3 , 19.00元, 1999-3 , 19.00元,8.9,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
中国少年儿童百科全书（全四册）,https://book.douban.com/subject/1028409/,林崇德 主编 , 浙江教育出版社 , 1991-4 , 168.00元, 1991-4 , 168.00元,9.4,空
傲慢与偏见,https://book.douban.com/subject/1083428/,[英] 奥斯丁 , 人民文学出版社 , 1993-7 , 13.00元, 1993-7 , 13.00元,8.9,所有现代言情小说的母体
秋园,https://book.douban.com/subject/34998019/,杨本芬 , 北京联合出版公司 , 2020-6 , 38.00元, 2020-6 , 38.00元,9.0,空
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,[法] 雨果 , 人民文学出版社 , 1992-6 , 66.00元, 1992-6 , 66.00元,9.0,现实主义与浪漫主义的至高杰作
史记（全十册）,https://book.douban.com/subject/1077847/,司马迁 , 中华书局 , 1982-11 , 125.00, 1982-11 , 125.00,9.5,史家之绝唱，无韵之离骚
置身事内,https://book.douban.com/subject/35546622/,兰小欢 , 上海人民出版社 , 2021-8 , 65.00元, 2021-8 , 65.00元,9.1,空
西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩 , 人民文学出版社 , 2004-8 , 47.20元, 2004-8 , 47.20元,9.0,神魔皆有人情，精魅亦通世故
台北人,https://book.douban.com/subject/5337248/,白先勇 , 广西师范大学出版社 , 2010-10 , 38.00元, 2010-10 , 38.00元,9.0,白先勇短篇小说集
历史深处的忧虑,https://book.douban.com/subject/1027191/,林达 , 生活·读书·新知三联书店 , 1997-5 , 19.00元, 1997-5 , 19.00元,9.0,窥见美国社会的一扇窗
神雕侠侣,https://book.douban.com/subject/1255624/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 76.80元, 1994-5 , 76.80元,8.9,至情至性，情大于武
诗经,https://book.douban.com/subject/1883245/,孔丘 编订 , 北京出版社 , 2006-7 , 19.90元, 2006-7 , 19.90元,9.5,思无邪
永恒的终结,https://book.douban.com/subject/25829693/,[美] 艾萨克·阿西莫夫 , 江苏凤凰文艺出版社 , 2014-9 , 32.00元, 2014-9 , 32.00元,9.1,关于时间旅行的终极奥秘和恢宏构想
上帝掷骰子吗,https://book.douban.com/subject/1467022/,曹天元 , 辽宁教育出版社 , 2006-1 , 32.00元, 2006-1 , 32.00元,9.2,量子物理史话
文学回忆录,https://book.douban.com/subject/20440644/,木心 口述 , 广西师范大学出版社 , 2013-1-10 , 98.00元, 2013-1-10 , 98.00元,9.1,木心留给世界的礼物
孽子,https://book.douban.com/subject/5337254/,白先勇 , 广西师范大学出版社 , 2010.10 , 46.00元, 2010.10 , 46.00元,9.2,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
一个叫欧维的男人决定去死,https://book.douban.com/subject/26672693/,[瑞典] 弗雷德里克·巴克曼 , 四川文艺出版社 , 2015-12 , 35.00元, 2015-12 , 35.00元,9.1,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛 , 哈尔滨出版社 , 2003-6 , 15.80元, 2003-6 , 15.80元,9.0,沙漠中寻常的生与死
灿烂千阳,https://book.douban.com/subject/2143732/,[美] 卡勒德·胡赛尼 , 上海人民出版社 , 2007-9 , 28.00元, 2007-9 , 28.00元,8.9,唯有希望与爱可以驱散阴霾
最好的告别,https://book.douban.com/subject/26576861/,[美] 阿图·葛文德（Atul Gawande） , 浙江人民出版社 , 2015-7-31 , 54.90元, 2015-7-31 , 54.90元,9.0,关于衰老与死亡，你必须知道的常识
唐诗三百首,https://book.douban.com/subject/1013267/,蘅塘退士 , 中华书局 , 1984-07-01 , 0.65, 1984-07-01 , 0.65,9.4,熟读唐诗三百首，不会吟诗也会吟
窗边的小豆豆,https://book.douban.com/subject/1007914/,[日] 黑柳彻子 著 , 南海出版公司 , 2003-1 , 20.00元, 2003-1 , 20.00元,8.8,真正懂孩子的教育经
美丽新世界,https://book.douban.com/subject/27002046/,【英】奥尔德斯·赫胥黎 , 上海译文出版社 , 2017-6 , 45.00元, 2017-6 , 45.00元,9.2,空
人间词话,https://book.douban.com/subject/1203426/,王国维 , 上海古籍出版社 , 1998-12 , 9.80元, 1998-12 , 9.80元,9.0,以新眼光评旧文学
美的历程,https://book.douban.com/subject/3410718/,李泽厚 , 生活·读书·新知三联书店 , 2009-7 , 43.00元, 2009-7 , 43.00元,9.2,中国美学经典之作
看见,https://book.douban.com/subject/20427187/,柴静 , 广西师范大学出版社 , 2013-1-1 , 39.80元, 2013-1-1 , 39.80元,8.8,在这里看见中国
呼兰河传,https://book.douban.com/subject/1060852/,萧红 , 百花文艺出版社 , 2005-01 , 19.00, 2005-01 , 19.00,8.9,萧红的童年往事
道德经,https://book.douban.com/subject/1059258/,黄元吉 , 陕西人民出版社 , 1996-10 , 4.50元, 1996-10 , 4.50元,9.5,中国历史上首部完整的哲学著作
刘擎西方现代思想讲义,https://book.douban.com/subject/35313227/,刘擎 , 新星出版社 , 2021-1 , 79.00元, 2021-1 , 79.00元,9.2,空
四世同堂,https://book.douban.com/subject/3183775/,老舍 , 北京十月文艺出版社 , 2008-07 , 36.00元, 2008-07 , 36.00元,9.4,北平沦陷时代广大平民的悲惨遭遇
离开的，留下的,https://book.douban.com/subject/27104959/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-10 , 62.00元, 2017-10 , 62.00元,8.9,探索中年的虚无、困惑、野心和近乎残暴的爱
爱你就像爱生命,https://book.douban.com/subject/3071717/,王小波 , 上海锦绣文章出版社 , 2008-5 , 18.00元, 2008-5 , 18.00元,8.8,王小波与李银河的两地书
浪潮之巅,https://book.douban.com/subject/6709783/,吴军 , 电子工业出版社 , 2011-8 , 55.00元, 2011-8 , 55.00元,9.0,了解IT领域的入门读物
冬牧场,https://book.douban.com/subject/10522856/,李娟 , 新星出版社 , 2012-6 , 29.80元, 2012-6 , 29.80元,9.0,阿勒泰的精灵
罪与罚,https://book.douban.com/subject/1858568/,[俄] 陀思妥耶夫斯基 , 上海译文出版社 , 2006-8 , 23.00元, 2006-8 , 23.00元,9.2,描绘人内心的全部深度
我们仨,https://book.douban.com/subject/1023045/,杨绛 , 生活·读书·新知三联书店 , 2003-7 , 18.80元, 2003-7 , 18.80元,8.7,家庭生活回忆录
